,ref,name,publisher,year,score
29,http://cpcgamereviews.com/a/index3.html#airwolf,Airwolf,Amsoft/Elite,1985,2
30,http://cpcgamereviews.com/a/index4.html#airwolf_2,Airwolf II,Hit Pak,1987,6
31,http://cpcgamereviews.com/a/index4.html#akalabeth,Akalabeth,Fessor,2015,7
32,http://cpcgamereviews.com/a/index4.html#aladdins_cave,Aladdin's Cave,Artic Computing,1985,7
33,http://cpcgamereviews.com/a/index4.html#alcon_2020,Alcon 2020,Abalore,2020,9
34,http://cpcgamereviews.com/a/index4.html#alex_higgins_world_pool,Alex Higgins World Pool,Amsoft,1985,7
35,http://cpcgamereviews.com/a/index4.html#alex_higgins_world_snooker,Alex Higgins World Snooker,Amsoft,1985,6
36,http://cpcgamereviews.com/a/index4.html#alien,Alien,Amsoft,1985,7
37,http://cpcgamereviews.com/a/index4.html#alien_break-in,Alien Break-In,Amsoft/Romik,1985,4
38,http://cpcgamereviews.com/a/index4.html#alien_8,Alien 8,Ultimate Play the Game,1985,8
39,http://cpcgamereviews.com/a/index4.html#alien_highway,Alien Highway,Vortex Software,1986,6
40,http://cpcgamereviews.com/a/index5.html#aliens,Aliens,Electric Dreams,1986,8
41,http://cpcgamereviews.com/a/index5.html#alien_storm,Alien Storm,US Gold,1991,8
42,http://cpcgamereviews.com/a/index5.html#aliens_us_version,Aliens: US Version,Electric Dreams,1987,5
43,http://cpcgamereviews.com/a/index5.html#alien_syndrome,Alien Syndrome,ACE,1988,3
44,http://cpcgamereviews.com/a/index5.html#alkahera,Alkahera,Budgie,1985,3
45,http://cpcgamereviews.com/a/index5.html#alphakhor,Alphakhor,Loriciel,1989,9
46,http://cpcgamereviews.com/a/index5.html#altair,Altair,Inmensa Bola de Manteca,2014,8
47,http://cpcgamereviews.com/a/index5.html#altered_beast,Altered Beast,Activision,1989,4
48,http://cpcgamereviews.com/a/index5.html#alternative_world_games,Alternative World Games,Gremlin Graphics,1987,3
49,http://cpcgamereviews.com/a/index5.html#amaurote,Amaurote,Mastertronic,1987,3
50,http://cpcgamereviews.com/a/index6.html#the_amazing_shrinking_man,The Amazing Shrinking Man,Infogrames,1986,4
51,http://cpcgamereviews.com/a/index6.html#amc,AMC,Dinamic,1989,8
52,http://cpcgamereviews.com/a/index6.html#amelie_minuit,Am&eacute;lie Minuit,ERE Informatique,1985,3
53,http://cpcgamereviews.com/a/index6.html#american_turbo_king,American Turbo King,Mastertronic,1989,4
54,http://cpcgamereviews.com/a/index6.html#amsgolf,Amsgolf,Amsoft,1984,1
55,http://cpcgamereviews.com/a/index6.html#amsoccer,Amsoccer,IJK,1986,0
56,http://cpcgamereviews.com/a/index6.html#amstrad_shuffle,Amstrad Shuffle,Alpha Omega,1986,7
57,http://cpcgamereviews.com/a/index6.html#anarchy,Anarchy,Rack It,1988,7
58,http://cpcgamereviews.com/a/index6.html#android_one,Android One,Vortex Software,1985,3
59,http://cpcgamereviews.com/a/index6.html#android_2,Android 2,Vortex Software,1985,5
60,http://cpcgamereviews.com/a/index7.html#andy_capp,Andy Capp,Mirrorsoft,1987,6
61,http://cpcgamereviews.com/a/index7.html#angel_nieto_pole_500,Angel Nieto Pole 500,Opera Soft,1990,8
62,http://cpcgamereviews.com/a/index7.html#angleball,Angleball,Mastertronic,1987,7
63,http://cpcgamereviews.com/a/index7.html#anima,&Aacute;nima,SugarFree,2020,7
64,http://cpcgamereviews.com/a/index7.html#animated_strip_poker,Animated Strip Poker,KnightSoft,1985,3
65,http://cpcgamereviews.com/a/index7.html#ant_attack,Ant Attack,40Crisis,2014,6
66,http://cpcgamereviews.com/a/index7.html#apb,APB,Domark,1989,9
67,http://cpcgamereviews.com/a/index7.html#the_apprentice,The Apprentice,Mastertronic,1986,2
68,http://cpcgamereviews.com/a/index7.html#aqua,Aqua,CEZ Games Studio,2007,7
69,http://cpcgamereviews.com/a/index7.html#aquad,Aquad,Norsoft,1985,6
70,http://cpcgamereviews.com/a/index8.html#aquanaute,Aquanaute,FIL,1988,3
71,http://cpcgamereviews.com/a/index8.html#arachnophobia,Arachnophobia,Disney,1991,8
72,http://cpcgamereviews.com/a/index8.html#arcade_flight_simulator,Arcade Flight Simulator,Code Masters,1989,6
73,http://cpcgamereviews.com/a/index8.html#arcade_fruit_machine,Arcade Fruit Machine,Zeppelin Games,1989,7
74,http://cpcgamereviews.com/a/index8.html#arcade_trivia_quiz,Arcade Trivia Quiz,Zeppelin Games,1989,6
75,http://cpcgamereviews.com/a/index8.html#the_archers,The Archers,Level 9/Mosaic,1986,6
76,http://cpcgamereviews.com/a/index8.html#archon_the_light_and_the_dark,Archon: The Light and the Dark,Electronic Arts,1989,8
77,http://cpcgamereviews.com/a/index8.html#area_51,Area 51,Nicholas Campbell,2006,7
78,http://cpcgamereviews.com/a/index8.html#argo_navis,Argo Navis,Kuma,1985,7
79,http://cpcgamereviews.com/a/index8.html#arkanoid,Arkanoid,Imagine,1987,7
80,http://cpcgamereviews.com/a/index9.html#arkanoid_revenge_of_doh,Arkanoid: Revenge of Doh,Imagine,1988,6
81,http://cpcgamereviews.com/a/index9.html#arkos,Arkos,Zigurat,1988,6
82,http://cpcgamereviews.com/a/index9.html#the_armageddon_man,The Armageddon Man,Martech,1987,7
83,http://cpcgamereviews.com/a/index9.html#army_moves,Army Moves,Dinamic,1986,5
84,http://cpcgamereviews.com/a/index9.html#arquimedes_xxi,Arquimedes XXI,ESP Soft,2011,7
85,http://cpcgamereviews.com/a/index9.html#artura,Artura,Gremlin Graphics,1989,5
86,http://cpcgamereviews.com/a/index9.html#aspar_gp_master,Aspar GP Master,Dinamic,1988,8
87,http://cpcgamereviews.com/a/index9.html#asphalt,Asphalt,Ubi Soft,1987,6
88,http://cpcgamereviews.com/a/index9.html#assault_course,Assault Course,Players,1990,6
89,http://cpcgamereviews.com/a/index9.html#assault_on_port_stanley,Assault on Port Stanley,Amsoft,1985,3
90,http://cpcgamereviews.com/a/index10.html#asterix_and_the_magic_cauldron,Asterix and the Magic Cauldron,Melbourne House,1987,7
91,http://cpcgamereviews.com/a/index10.html#asterix_chez_rahazade,Asterix Chez Rahazade,Coktel Vision,1988,7
92,http://cpcgamereviews.com/a/index10.html#astro_attack,Astro Attack,Amsoft,1984,5
93,http://cpcgamereviews.com/a/index10.html#astroball,Astroball,The Power House,1988,6
94,http://cpcgamereviews.com/a/index10.html#astro_plumber,Astro Plumber,Blue Ribbon,1986,3
95,http://cpcgamereviews.com/a/index10.html#atahualpa,Atahualpa,Transoft,1985,4
96,http://cpcgamereviews.com/a/index10.html#the_a-team,The A-Team,Zafiro,1988,7
97,http://cpcgamereviews.com/a/index10.html#atf,ATF,Digital Integration,1988,8
98,http://cpcgamereviews.com/a/index10.html#athanor,Athanor,Safar Games,2014,4
99,http://cpcgamereviews.com/a/index10.html#athlete,Athlete,Micro&iuml;ds,1985,7
100,http://cpcgamereviews.com/a/index11.html#a320,A320,Loriciels,1988,7
101,http://cpcgamereviews.com/a/index11.html#atlantis_anirog,Atlantis,Anirog,1985,4
102,http://cpcgamereviews.com/a/index11.html#atom_ant,Atom Ant,Hi-Tec Software,1990,7
103,http://cpcgamereviews.com/a/index11.html#atomic_driver,Atomic Driver,Loriciels,1988,8
104,http://cpcgamereviews.com/a/index11.html#atomic_fiction,Atomic Fiction,Chip,1987,6
105,http://cpcgamereviews.com/a/index11.html#atomik,Atomik,FIL,1988,2
106,http://cpcgamereviews.com/a/index11.html#atom_smasher,Atom Smasher,Amsoft,1984,1
107,http://cpcgamereviews.com/a/index11.html#atrog,Atrog,Zafiro,1988,5
108,http://cpcgamereviews.com/a/index11.html#attack_of_the_killer_tomatoes,Attack of the Killer Tomatoes,Global Software,1986,7
109,http://cpcgamereviews.com/a/index11.html#atv_simulator,ATV Simulator,Code Masters,1988,7
110,http://cpcgamereviews.com/a/index12.html#auf_wiedersehen_monty,Auf Wiedersehen Monty,Gremlin Graphics,1987,8
111,http://cpcgamereviews.com/a/index12.html#aussie_games,Aussie Games,Erbe/US Gold,1990,7
112,http://cpcgamereviews.com/a/index12.html#australian_rules_football,Australian Rules Football,Again Again,1989,2
113,http://cpcgamereviews.com/a/index12.html#autocrash,Autocrash,Zigurat,1991,4
114,http://cpcgamereviews.com/a/index12.html#avenger,Avenger,Gremlin Graphics,1986,9
115,http://cpcgamereviews.com/a/index12.html#les_aventures_de_pepito_au_mexique,Les Aventures de P&eacute;pito au Mexique,Belin,1991,7
116,http://cpcgamereviews.com/b/index.html#babas_palace,Baba's Palace,Rafael Castillo,2017,10
117,http://cpcgamereviews.com/b/index.html#baby_jo,Baby Jo,Loriciel,1992,8
118,http://cpcgamereviews.com/b/index.html#bachou,Bachou,Central Solutions,1986,2
119,http://cpcgamereviews.com/b/index.html#back_to_reality,Back to Reality,Mastertronic,1986,6
120,http://cpcgamereviews.com/b/index.html#back_to_the_future_part_2,Back to the Future Part II,Image Works,1990,4
121,http://cpcgamereviews.com/b/index.html#back_to_the_future_part_3,Back to the Future Part III,Image Works,1991,8
122,http://cpcgamereviews.com/b/index.html#back_to_the_golden_age,Back to the Golden Age,Ubi Soft,1991,8
123,http://cpcgamereviews.com/b/index.html#bacterik_dream,Bacterik Dream,Chip,1987,8
124,http://cpcgamereviews.com/b/index.html#bactron,Bactron,Loriciels,1986,8
125,http://cpcgamereviews.com/b/index.html#bad_cat,Bad Cat,Go!,1987,5
126,http://cpcgamereviews.com/b/index2.html#bad_dudes_vs_dragon_ninja,Bad Dudes vs. Dragon Ninja,Imagine,1988,7
127,http://cpcgamereviews.com/b/index2.html#badlands,Badlands,Domark,1990,3
128,http://cpcgamereviews.com/b/index2.html#bad_max,Bad Max,Transoft,1985,4
129,http://cpcgamereviews.com/b/index2.html#ball_bearing,Ball Bearing,Radical Software,1993,9
130,http://cpcgamereviews.com/b/index2.html#ballblazer,Ballblazer,Activision,1987,7
131,http://cpcgamereviews.com/b/index2.html#ballbreaker,Ballbreaker,CRL,1987,6
132,http://cpcgamereviews.com/b/index2.html#ballcrazy,Ballcrazy,Mastertronic,1987,6
133,http://cpcgamereviews.com/b/index2.html#balloonacy,Balloonacy,Cronosoft,2008,7
134,http://cpcgamereviews.com/b/index2.html#balloon_buster,Balloon Buster,Blue Ribbon,1989,5
135,http://cpcgamereviews.com/b/index2.html#banger_racer,Banger Racer,Cult,1991,6
136,http://cpcgamereviews.com/b/index3.html#bangers_and_mash,Bangers and Mash,Alternative Software,1992,5
137,http://cpcgamereviews.com/b/index3.html#barbarian_melbourne_house,Barbarian,Melbourne House,1988,7
138,http://cpcgamereviews.com/b/index3.html#barbarian_the_ultimate_warrior,Barbarian: The Ultimate Warrior,Palace,1987,9
139,http://cpcgamereviews.com/b/index3.html#barbarian_2,Barbarian II,Palace,1989,5
140,http://cpcgamereviews.com/b/index3.html#the_bards_tale_tales_of_the_unknown,The Bard's Tale: Tales of the Unknown,Electronic Arts,1988,9
141,http://cpcgamereviews.com/b/index3.html#barrier_reef,Barrier Reef,The Power House,1987,3
142,http://cpcgamereviews.com/b/index3.html#barry_mcguigans_world_championship_boxing,Barry McGuigan's World Championship Boxing,Activision,1985,7
143,http://cpcgamereviews.com/b/index3.html#basil_the_great_mouse_detective,Basil the Great Mouse Detective,Gremlin Graphics,1987,6
144,http://cpcgamereviews.com/b/index3.html#basket_cases,Basket Cases,CNGSoft,2017,7
145,http://cpcgamereviews.com/b/index3.html#basket_master,Basket Master,Dinamic/Imagine,1987,4
146,http://cpcgamereviews.com/b/index4.html#bat,BAT,Ubi Soft,1991,8
147,http://cpcgamereviews.com/b/index4.html#batman,Batman,Ocean,1986,8
148,http://cpcgamereviews.com/b/index4.html#batman_the_caped_crusader,Batman: The Caped Crusader,Ocean,1988,8
149,http://cpcgamereviews.com/b/index4.html#batman_the_movie,Batman: The Movie,Ocean,1989,7
150,http://cpcgamereviews.com/b/index4.html#battle_beyond_the_stars,Battle Beyond the Stars,Solar Software,1985,6
151,http://cpcgamereviews.com/b/index4.html#battle_of_the_planets,Battle of the Planets,Mikro-Gen,1986,6
152,http://cpcgamereviews.com/b/index4.html#battle_ships,Battle Ships,Hit Pak,1987,6
153,http://cpcgamereviews.com/b/index4.html#battle_valley,Battle Valley,Rack It,1988,5
154,http://cpcgamereviews.com/b/index4.html#batty,Batty,Hit Pak,1987,4
155,http://cpcgamereviews.com/b/index4.html#bb4cpc,BB4CPC,CNGSoft,2011,9
156,http://cpcgamereviews.com/b/index5.html#beach_buggy_simulator,Beach Buggy Simulator,Silverbird,1988,8
157,http://cpcgamereviews.com/b/index5.html#beach_head,Beach Head,US Gold,1985,5
158,http://cpcgamereviews.com/b/index5.html#beach_head_2,Beach Head II,US Gold,1986,4
159,http://cpcgamereviews.com/b/index5.html#bedlam,Bedlam,Go!,1988,6
160,http://cpcgamereviews.com/b/index5.html#behind_closed_doors_7,Behind Closed Doors Seven,Zenobi Software,2018,8
161,http://cpcgamereviews.com/b/index5.html#the_bells,The Bells,Blaby Computer Games,1986,1
162,http://cpcgamereviews.com/b/index5.html#berks_3,Berks III,The Power House,1987,7
163,http://cpcgamereviews.com/b/index5.html#bestial_warrior,Bestial Warrior,Dinamic,1989,6
164,http://cpcgamereviews.com/b/index5.html#betiled,BeTiled!,CEZ Games Studio,2009,10
165,http://cpcgamereviews.com/b/index5.html#beverly_hills_cop,Beverly Hills Cop,Tynesoft,1990,8
166,http://cpcgamereviews.com/b/index6.html#beyond_the_ice_palace,Beyond the Ice Palace,Elite,1988,7
167,http://cpcgamereviews.com/b/index6.html#biff,Biff,Beyond Belief,1992,7
168,http://cpcgamereviews.com/b/index6.html#big_foot,Big Foot,Code Masters,1988,5
169,http://cpcgamereviews.com/b/index6.html#biggles,Biggles,Mirrorsoft,1986,7
170,http://cpcgamereviews.com/b/index6.html#big_screen_hero,Big Screen Hero,Skyslip Software,1988,6
171,http://cpcgamereviews.com/b/index6.html#the_big_sleaze,The Big Sleaze,Piranha,1987,7
172,http://cpcgamereviews.com/b/index6.html#bigtop_barney,Bigtop Barney,Players,1986,5
173,http://cpcgamereviews.com/b/index6.html#big_trouble_in_little_china,Big Trouble in Little China,Electric Dreams,1987,5
174,http://cpcgamereviews.com/b/index6.html#billy_la_banlieue,Billy la Banlieue,Loriciels,1986,5
175,http://cpcgamereviews.com/b/index6.html#billy_the_kid,Billy the Kid,Mastertronic,1990,5
176,http://cpcgamereviews.com/b/index7.html#billy_2,Billy 2,Loriciels,1987,4
177,http://cpcgamereviews.com/b/index7.html#binky,Binky,Software Projects,1985,4
178,http://cpcgamereviews.com/b/index7.html#bionic_commando,Bionic Commando,Go!,1988,5
179,http://cpcgamereviews.com/b/index7.html#bionic_ninja,Bionic Ninja,Zeppelin Games,1989,6
180,http://cpcgamereviews.com/b/index7.html#bio_spheres,Bio Spheres,Silverbird,1988,7
181,http://cpcgamereviews.com/b/index7.html#birdie,Birdie,ERE Informatique,1987,5
182,http://cpcgamereviews.com/b/index7.html#bitume,Bitume,ABO Soft,2017,7
183,http://cpcgamereviews.com/b/index7.html#black_beard,Black Beard,Topo Soft/Kixx,1988,4
184,http://cpcgamereviews.com/b/index7.html#black_fountain,Black Fountain,Incentive,1987,5
185,http://cpcgamereviews.com/b/index7.html#black_land,Black Land,Bollaware,1995,10
186,http://cpcgamereviews.com/b/index8.html#black_magic,Black Magic,US Gold,1987,7
187,http://cpcgamereviews.com/b/index8.html#black_tiger,Black Tiger,US Gold,1990,4
188,http://cpcgamereviews.com/b/index8.html#blade_runner,Blade Runner,CRL,1986,4
189,http://cpcgamereviews.com/b/index8.html#blade_warrior,Blade Warrior,Code Masters,1989,5
190,http://cpcgamereviews.com/b/index8.html#blagger,Blagger,Amsoft/Alligata,1984,7
191,http://cpcgamereviews.com/b/index8.html#blasteroids,Blasteroids,Image Works,1989,6
192,http://cpcgamereviews.com/b/index8.html#blazing_thunder,Blazing Thunder,Hi-Tec Software,1990,7
193,http://cpcgamereviews.com/b/index8.html#blip,Blip,Silverbird,1989,5
194,http://cpcgamereviews.com/b/index8.html#blockbusters_macsen,Blockbusters,Macsen,1986,3
195,http://cpcgamereviews.com/b/index8.html#blockbusters_tv_games,Blockbusters,TV Games,1988,6
196,http://cpcgamereviews.com/b/index9.html#blood_brothers,Blood Brothers,Gremlin Graphics,1988,5
197,http://cpcgamereviews.com/b/index9.html#blood_valley,Blood Valley,Gremlin Graphics,1988,4
198,http://cpcgamereviews.com/b/index9.html#bloodwych,Bloodwych,Image Works,1990,8
199,http://cpcgamereviews.com/b/index9.html#blue_angel_69,Blue Angel 69,Kevin Thacker,2010,9
200,http://cpcgamereviews.com/b/index9.html#blueberry,Blueberry,Coktel Vision,1987,8
201,http://cpcgamereviews.com/b/index9.html#the_blues_brothers,The Blues Brothers,Titus,1992,9
202,http://cpcgamereviews.com/b/index9.html#blue_star,Blue Star,Free Game Blot,1987,3
203,http://cpcgamereviews.com/b/index9.html#bmx_freestyle,BMX Freestyle,Code Masters,1989,6
204,http://cpcgamereviews.com/b/index9.html#bmx_kidz,BMX Kidz,Silverbird,1989,4
205,http://cpcgamereviews.com/b/index9.html#bmx_ninja,BMX Ninja,Alternative Software,1989,2
206,http://cpcgamereviews.com/b/index10.html#bmx_simulator,BMX Simulator,Code Masters,1987,8
207,http://cpcgamereviews.com/b/index10.html#bmx_simulator_2,BMX Simulator 2,Code Masters,1989,4
208,http://cpcgamereviews.com/b/index10.html#bobby_bearing,Bobby Bearing,The Edge,1986,8
209,http://cpcgamereviews.com/b/index10.html#bobo,Bobo,Infogrames,1988,7
210,http://cpcgamereviews.com/b/index10.html#bobs_full_house,Bob's Full House,TV Games,1988,6
211,http://cpcgamereviews.com/b/index10.html#bob_winner,Bob Winner,Loriciels,1986,7
212,http://cpcgamereviews.com/b/index10.html#the_boggit,The Boggit,CRL,1986,7
213,http://cpcgamereviews.com/b/index10.html#boinggg,Boinggg!,Atlantis,1988,4
214,http://cpcgamereviews.com/b/index10.html#bomb_fusion,Bomb Fusion,Mastertronic,1989,5
215,http://cpcgamereviews.com/b/index10.html#bomb_jack,Bomb Jack,Elite,1986,8
216,http://cpcgamereviews.com/b/index11.html#bomb_jack_2,Bomb Jack II,Elite,1987,9
217,http://cpcgamereviews.com/b/index11.html#bomb_scare,Bomb Scare,Firebird,1986,7
218,http://cpcgamereviews.com/b/index11.html#bonanza_bros,Bonanza Bros.,US Gold,1992,6
219,http://cpcgamereviews.com/b/index11.html#booly,Booly,Loriciel,1991,7
220,http://cpcgamereviews.com/b/index11.html#booty,Booty,Firebird,1986,6
221,http://cpcgamereviews.com/b/index11.html#bosconian_87,Bosconian 87,Mastertronic,1987,6
222,http://cpcgamereviews.com/b/index11.html#the_boss,The Boss,Peaksoft,1985,6
223,http://cpcgamereviews.com/b/index11.html#boulder_dash,Boulder Dash,Mirrorsoft,1985,7
224,http://cpcgamereviews.com/b/index11.html#boulder_dash_3,Boulder Dash III,Action,1986,7
225,http://cpcgamereviews.com/b/index11.html#bouldeur,Bouldeur,Bretagne Edit' Presse,1989,7
226,http://cpcgamereviews.com/b/index12.html#bounder,Bounder,Gremlin Graphics,1986,4
227,http://cpcgamereviews.com/b/index12.html#bounty_bob_strikes_back,Bounty Bob Strikes Back,US Gold,1985,7
228,http://cpcgamereviews.com/b/index12.html#bounty_hunter,Bounty Hunter,Code Masters,1989,5
229,http://cpcgamereviews.com/b/index12.html#boy_racer,Boy Racer,Alligata,1987,4
230,http://cpcgamereviews.com/b/index12.html#brainache,Brainache,Code Masters,1987,4
231,http://cpcgamereviews.com/b/index12.html#brainstorm,Brainstorm,Firebird,1987,9
232,http://cpcgamereviews.com/b/index12.html#bravestarr,Bravestarr,US Gold,1987,9
233,http://cpcgamereviews.com/b/index12.html#braxx_bluff,Braxx Bluff,Amsoft,1985,5
234,http://cpcgamereviews.com/b/index12.html#breakthru,Breakthru,US Gold,1986,2
235,http://cpcgamereviews.com/b/index12.html#brian_bloodaxe,Brian Bloodaxe,The Edge,1985,4
236,http://cpcgamereviews.com/b/index13.html#the_brick,The Brick,Delta Software,1989,3
237,http://cpcgamereviews.com/b/index13.html#brick_breaker,Brick Breaker,Dro Soft,1987,2
238,http://cpcgamereviews.com/b/index13.html#brick_rick,Brick Rick,Juan Jos&eacute; Mart&iacute;nez,2020,9
239,http://cpcgamereviews.com/b/index13.html#bride_of_frankenstein,Bride of Frankenstein,39 Steps,1987,5
240,http://cpcgamereviews.com/b/index13.html#bridge-it,Bridge-It,Amsoft,1984,0
241,http://cpcgamereviews.com/b/index13.html#british_super_league,British Super League,Cult,1990,3
242,http://cpcgamereviews.com/b/index13.html#bronx,Bronx,MCM Software,1989,6
243,http://cpcgamereviews.com/b/index13.html#bronx_street_cop,Bronx Street Cop,Mastertronic,1989,5
244,http://cpcgamereviews.com/b/index13.html#bruce_lee,Bruce Lee,US Gold,1984,8
245,http://cpcgamereviews.com/b/index13.html#bubble_bobble,Bubble Bobble,Firebird,1987,8
246,http://cpcgamereviews.com/b/index14.html#bubble_dizzy,Bubble Dizzy,Code Masters,1991,7
247,http://cpcgamereviews.com/b/index14.html#bubble_ghost,Bubble Ghost,ERE Informatique,1988,8
248,http://cpcgamereviews.com/b/index14.html#bubbler,Bubbler,Ultimate Play the Game,1987,6
249,http://cpcgamereviews.com/b/index14.html#buccaneers,Buccaneers,Matranet,2020,7
250,http://cpcgamereviews.com/b/index14.html#buffalo_bills_wild_west_show,Buffalo Bill's Wild West Show,Tynesoft,1989,8
251,http://cpcgamereviews.com/b/index14.html#buggy_boy,Buggy Boy,Elite,1988,9
252,http://cpcgamereviews.com/b/index14.html#buggy_ranger,Buggy Ranger,Dinamic,1990,7
253,http://cpcgamereviews.com/b/index14.html#buggy_2,Buggy II,Chip,1986,7
254,http://cpcgamereviews.com/b/index14.html#bugsy,Bugsy,CRL,1986,7
255,http://cpcgamereviews.com/b/index14.html#builderland,Builderland,Loriciel,1991,7
256,http://cpcgamereviews.com/b/index15.html#bullseye,Bullseye,Macsen,1985,5
257,http://cpcgamereviews.com/b/index15.html#bullys_sporting_darts,Bully's Sporting Darts,Alternative Software,1993,8
258,http://cpcgamereviews.com/b/index15.html#bumpy,Bumpy,Loriciels,1989,10
259,http://cpcgamereviews.com/b/index15.html#bumpys_arcade_fantasy,Bumpy's Arcade Fantasy,Loriciel,1992,9
260,http://cpcgamereviews.com/b/index15.html#bunny_bricks,Bunny Bricks,Silmarils,1992,7
261,http://cpcgamereviews.com/b/index15.html#burnin_rubber,Burnin' Rubber,Ocean,1990,8
262,http://cpcgamereviews.com/b/index15.html#buster_block,Buster Block,Kuma,1986,4
263,http://cpcgamereviews.com/b/index15.html#by_fair_means_or_foul,By Fair Means or Foul,Superior Software/Alligata,1988,6
264,http://cpcgamereviews.com/c/index.html#cabal,Cabal,Ocean,1989,7
265,http://cpcgamereviews.com/c/index.html#california_games,California Games,Epyx,1987,5
266,http://cpcgamereviews.com/c/index.html#camelot_warriors,Camelot Warriors,Dinamic/Ariolasoft,1986,5
267,http://cpcgamereviews.com/c/index.html#campeones,Campeones,Amsoft,1985,5
268,http://cpcgamereviews.com/c/index.html#capitan_trueno,Capit&aacute;n Trueno,Dinamic,1989,8
269,http://cpcgamereviews.com/c/index.html#captain_america_defies_the_doom_tube,Captain America Defies the Doom Tube,Go!,1987,4
270,http://cpcgamereviews.com/c/index.html#captain_blood,Captain Blood,ERE Informatique,1988,6
271,http://cpcgamereviews.com/c/index.html#captain_dynamo,Captain Dynamo,Code Masters,1992,7
272,http://cpcgamereviews.com/c/index.html#captain_kidd,Captain Kidd,Bug-Byte,1985,4
273,http://cpcgamereviews.com/c/index.html#captain_planet_and_the_planeteers,Captain Planet and the Planeteers,Mindscape,1991,4
274,http://cpcgamereviews.com/c/index2.html#captain_s,Captain S,Dinamic,1988,9
275,http://cpcgamereviews.com/c/index2.html#carlos_sainz,Carlos Sainz,Zigurat,1990,7
276,http://cpcgamereviews.com/c/index2.html#casanova,Casanova,Iber Soft,1989,4
277,http://cpcgamereviews.com/c/index2.html#castle_assault,Castle Assault,Blue Ribbon,1985,0
278,http://cpcgamereviews.com/c/index2.html#castle_blackstar,Castle Blackstar,CDS,1984,7
279,http://cpcgamereviews.com/c/index2.html#castle_master,Castle Master,Domark/Incentive,1990,8
280,http://cpcgamereviews.com/c/index2.html#castle_master_2_the_crypt,Castle Master II: The Crypt,Domark/Incentive,1990,8
281,http://cpcgamereviews.com/c/index2.html#catastrophes,Catastrophes,Amsoft,1985,7
282,http://cpcgamereviews.com/c/index2.html#cauldron,Cauldron,Palace,1985,9
283,http://cpcgamereviews.com/c/index2.html#cauldron_2,Cauldron II,Palace,1986,7
284,http://cpcgamereviews.com/c/index3.html#cavemania,Cavemania,Atlantis,1991,6
